date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:14	82/82	---MCZ	200	added ('OK')	text/plain	date:Tue,%2012%20Jul%202022%2004:50:12%20GMT	https://www.technosac.jp/robots.txt		(from )
13:50:14	49857/49857	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jul%202022%2004:50:13%20GMT	https://www.technosac.jp/	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/index.html	(from )
13:50:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2012%20Jul%202022%2004:50:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/tomoy/Downloads/technos%20site/www.googletagmanager.com/gtm.05445.delayed	(from https://www.technosac.jp/)
13:50:14	3262/3262	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22cbe-5beb672afc340%22	https://www.technosac.jp/assets/img/favicon.ico	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/img/favicon.ico	(from https://www.technosac.jp/)
13:50:15	340013/340013	---MCZ	200	added ('OK')	text/css	etag:W/%225302d-5e392eefc844b%22	https://www.technosac.jp/assets/css/common.css	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/css/common.css	(from https://www.technosac.jp/)
13:50:15	60956/60956	---MCZ	200	added ('OK')	text/css	etag:W/%22ee1c-5df439f7b15c0%22	https://www.technosac.jp/assets/css/renewTop.css	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/css/renewTop.css	(from https://www.technosac.jp/)
13:50:15	25245/25245	---MCZ	200	added ('OK')	text/css	etag:W/%22629d-5bffbbf0a3167%22	https://www.technosac.jp/technos_wp/wp-includes/css/dist/block-library/style.min.css?ver=5.1.13	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/technos_wp/wp-includes/css/dist/block-library/style.mind934.css	(from https://www.technosac.jp/)
13:50:15	855/855	---MCZ	200	added ('OK')	text/xml	date:Tue,%2012%20Jul%202022%2004:50:14%20GMT	https://www.technosac.jp/technos_wp/xmlrpc.php?rsd	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/technos_wp/xmlrpc0db0.php	(from https://www.technosac.jp/)
13:50:16	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22415-4ed4785da9bc0%22	https://www.technosac.jp/technos_wp/wp-includes/wlwmanifest.xml	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/technos_wp/wp-includes/wlwmanifest.xml	(from https://www.technosac.jp/)
13:50:16	115262/115262	---MCZ	200	added ('OK')	application/json	date:Tue,%2012%20Jul%202022%2004:50:15%20GMT	https://www.technosac.jp/wp-json/	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/wp-json/index.html	(from https://www.technosac.jp/)
13:50:17	2382/2382	---MCZ	200	added ('OK')	application/json	date:Tue,%2012%20Jul%202022%2004:50:16%20GMT	https://www.technosac.jp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.technosac.jp%2F	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/wp-json/oembed/1.0/embedae12.json	(from https://www.technosac.jp/)
13:50:17	2559/2559	---MCZ	200	added ('OK')	text/xml	date:Tue,%2012%20Jul%202022%2004:50:16%20GMT	https://www.technosac.jp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.technosac.jp%2F&format=xml	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/wp-json/oembed/1.0/embed354f	(from https://www.technosac.jp/)
13:50:18	8042/8042	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f6a-5c344d2a870c0%22	https://www.technosac.jp/assets/img/spHeadLogo.svg	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/img/spHeadLogo.svg	(from https://www.technosac.jp/)
13:50:18	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jul%202022%2004:50:17%20GMT	https://www.technosac.jp/access.php	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/access.php	(from https://www.technosac.jp/)
13:50:18	7622/7622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dc6-5c344d289ec40%22	https://www.technosac.jp/assets/img/logo.svg	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/img/logo.svg	(from https://www.technosac.jp/)
13:50:18	93039/93039	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jul%202022%2004:50:17%20GMT	https://www.technosac.jp/manabi/prag.php	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/manabi/prag.html	(from https://www.technosac.jp/)
13:50:18	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jul%202022%2004:50:17%20GMT	https://www.technosac.jp/campus/twinneduniv.php	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/campus/twinneduniv.php	(from https://www.technosac.jp/)
13:50:19	430512/430512	---M--	200	added ('OK')	application/pdf	etag:%22691b0-5df2a1b708702%22	https://www.technosac.jp/assets/img/admission/guideline.pdf	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/img/admission/guideline.pdf	(from https://www.technosac.jp/)
13:50:19	254695/254695	---M--	200	added ('OK')	image/jpeg	etag:%223e2e7-5df56c44b3d40%22	https://www.technosac.jp/assets/img/front/mv.jpg	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/img/front/mv.jpg	(from https://www.technosac.jp/)
13:50:19	94904/94904	---M--	200	added ('OK')	image/jpeg	etag:%22172b8-5df56c45a7f80%22	https://www.technosac.jp/assets/img/front/mv_sp.jpg	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/img/front/mv_sp.jpg	(from https://www.technosac.jp/)
13:50:20	1600743/1600743	---M--	200	added ('OK')	video/mp4	etag:%22186ce7-5df2ef9716080%22	https://www.technosac.jp/assets/video/video_eng.mp4	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/video/video_eng.mp4	(from https://www.technosac.jp/)
13:50:20	970036/970036	---M--	200	added ('OK')	video/mp4	etag:%22ecd34-5df2ef9716080%22	https://www.technosac.jp/assets/video/video_air.mp4	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/video/video_air.mp4	(from https://www.technosac.jp/)
13:50:20	2105/2105	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22839-5dd3b68f13340%22	https://www.technosac.jp/assets/img/front/news_ttl.svg	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/assets/img/front/news_ttl.svg	(from https://www.technosac.jp/)
13:50:20	87856/87856	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jul%202022%2004:50:19%20GMT	https://www.technosac.jp/news/	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/news/index.html	(from https://www.technosac.jp/)
13:50:20	105453/105453	---M--	200	added ('OK')	image/jpeg	etag:%2219bed-5e264486193ad%22	https://www.technosac.jp/technos_wp/wp-content/uploads/2022/06/oc-slide-07.jpg	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/technos_wp/wp-content/uploads/2022/06/oc-slide-07.jpg	(from https://www.technosac.jp/)
13:50:20	170000/170000	---M--	200	added ('OK')	image/jpeg	etag:%2229810-5c423e8ee9ce6%22	https://www.technosac.jp/technos_wp/wp-content/uploads/2021/06/ao_entry_start.jpg	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/technos_wp/wp-content/uploads/2021/06/ao_entry_start.jpg	(from https://www.technosac.jp/)
13:50:20	93355/93355	---M--	200	added ('OK')	image/png	etag:%2216cab-5bebac1bae9c0%22	https://www.technosac.jp/technos_wp/wp-content/uploads/2021/03/newsSlide05.png	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/technos_wp/wp-content/uploads/2021/03/newsSlide05.png	(from https://www.technosac.jp/)
13:50:21	257/257	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jul%202022%2004:50:19%20GMT	https://www.technosac.jp/school/collagecourse.php	C:/Users/tomoy/Downloads/technos%20site/www.technosac.jp/school/collagecourse.php	(from https://www.technosac.jp/)
